Genre,MedianGross,MedianBudget,Hexidecimal,
Drama,28993726.9,26087859.39,#71F5A3,
Crime,33575307.31,33898257.84,#4DF1B9,
Romance,36212191.4,29326227.45,#F987AE,
Music,37135772.98,22540194.21,#F97E80,
Horror,38569514.47,18503634.83,#F27E6B,
Comedy,39515454.11,30501346.96,#27EDCE,
Sport,39741709.71,30959448.24,#E29CD8,
History,39868124.33,42255476.39,#D6F568,
Thriller,42723227.72,39851715.31,#CEA9E9,
War,47552399.49,50668722.14,#B5B5F5,
Musical,52335774.82,47908394.2,#FC8197,
Western,55531769.37,48067193.68,#98C1FC,
Action,66975600.45,67450126.53,#52D7F9,
Sci-Fi,67362874.28,65413638.68,#F191C4,
Fantasy,67925726.23,62132373.43,#B5F779,
Family,84757371.98,62268305.17,#93F68D,
Adventure,88605881.84,82630602.38,#2ADFEF,
Animation,111132653.7,90483630.95,#09E7E0,