Year,AvgCPIUSD
2017,243.22
2016,240.01
2015,237.02
2014,236.74
2013,232.96
2012,229.59
2011,224.94
2010,218.06
2009,214.54
2008,215.30
2007,207.34
2006,201.60
2005,195.30
2004,188.90
2003,183.96
2002,179.88
2001,177.10
2000,172.20
1999,166.60
1998,163.00
1997,160.50
1996,156.90
1995,152.40
1994,148.20
1993,144.50
1992,140.30
1991,136.20
1990,130.70
1989,124.00
1988,118.30
1987,113.60
1986,109.60
1985,107.60
1984,103.90
1983,99.60
1982,96.50
1981,90.90
1980,82.40
1979,72.60
1978,65.20
1977,60.60
1976,56.90
1975,53.80
1974,49.30
1973,44.40
1972,41.80
1971,40.50
1970,38.80
1969,36.70
1968,34.80
1967,33.40
1966,32.40
1965,31.50
1964,31.00
1963,30.60
1962,30.20
1961,29.90
1960,29.60
1959,29.10
1958,28.90
1957,28.10
1956,27.20
1955,26.80
1954,26.90
1953,26.70
1952,26.50
1951,26.00
1950,24.10
1949,23.80
1948,24.10
1947,22.30
1946,19.50
1945,18.00
1944,17.60
1943,17.30
1942,16.30
1941,14.70
1940,14.00
1939,13.90
1938,14.10
1937,14.40
1936,13.90
1935,13.70
1934,13.40
1933,13.00
1932,13.70
1931,15.20
1930,16.70
1929,17.10
1928,17.10
1927,17.40
1926,17.70
1925,17.50
1924,17.10
1923,17.10
1922,16.80
1921,17.90
1920,20.00
1919,17.30
1918,15.10
1917,12.80
1916,10.90
1915,10.10
1914,10.00
1913,9.90